name,bus0,bus1,s_nom_extendable,type
KarlsruheWest_220_110,KarlsruheWest_220kV,KarlsruheWest_110kV,TRUE,100 MVA 220/110 kV
Daxlanden_380_110,Daxlanden_380kV,Daxlanden_110kV,TRUE,160 MVA 380/110 kV
Daxlanden_220_110,Daxlanden_220kV,Daxlanden_110kV,TRUE,100 MVA 220/110 kV
Oberwald_220_110,Oberwald_220kV,Oberwald_110kV,TRUE,100 MVA 220/110 kV
KarlsruheOst_220_110,KarlsruheOst_220kV,KarlsruheOst_110kV,TRUE,100 MVA 220/110 kV
Kuppenheim_220_110,Kuppenheim_220kV,Kuppenheim_110kV,TRUE,100 MVA 220/110 kV
Buhl_220_110,Buhl_220kV,Buhl_110kV,TRUE,100 MVA 220/110 kV
Weier_220_110,Weier_220kV,Weier_110kV,TRUE,100 MVA 220/110 kV
Eichstetten_220_110,Eichstetten_220kV,Eichstetten_110kV,TRUE,100 MVA 220/110 kV
Eichstetten_380_110,Eichstetten_380kV,Eichstetten_110kV,TRUE,160 MVA 380/110 kV
Philippsburg_380_110,Philippsburg_380kV,Philippsburg_110kV,TRUE,160 MVA 380/110 kV
Altlussheim_220_110,Altlussheim_220kV,Altlussheim_110kV,TRUE,100 MVA 220/110 kV
Rheinau_220_110,Rheinau_220kV,Rheinau_110kV,TRUE,100 MVA 220/110 kV
GKMannheim_220_110,GKMannheim_220kV,GKMannheim_110kV,TRUE,100 MVA 220/110 kV
Ryburg_Schworstadt_380_110,Ryburg_Schworstadt_380kV,Ryburg_Schworstadt_110kV,TRUE,160 MVA 380/110 kV
Tiengen_380_110,Tiengen_380kV,Tiengen_110kV,TRUE,160 MVA 380/110 kV
Tiengen_220_110,Tiengen_220kV,Tiengen_110kV,TRUE,100 MVA 220/110 kV
Gurtweil_380_110,Gurtweil_380kV,Gurtweil_110kV,TRUE,160 MVA 380/110 kV
Gurtweil_220_110,Gurtweil_220kV,Gurtweil_110kV,TRUE,100 MVA 220/110 kV
Weinheim_220_110,Weinheim_220kV,Weinheim_110kV,TRUE,100 MVA 220/110 kV
Villingen_380_110,Villingen_380kV,Villingen_110kV,TRUE,160 MVA 380/110 kV
Pulverdingen_380_110,Pulverdingen_380kV,Pulverdingen_110kV,TRUE,160 MVA 380/110 kV
Pulverdingen_220_110,Pulverdingen_220kV,Pulverdingen_110kV,TRUE,100 MVA 220/110 kV
Bruchsal_380_110,Bruchsal_380kV,Bruchsal_110kV,TRUE,160 MVA 380/110 kV
Wiesloch_380_110,Wiesloch_380kV,Wiesloch_110kV,TRUE,160 MVA 380/110 kV
Birkenfeld_220_110,Birkenfeld_220kV,Birkenfeld_110kV,TRUE,100 MVA 220/110 kV
Huffenhardt_380_110,Huffenhardt_380kV,Huffenhardt_110kV,TRUE,160 MVA 380/110 kV
Grossgartach_380_110,Grossgartach_380kV,Grossgartach_110kV,TRUE,160 MVA 380/110 kV
Hoheneck_380_110,Hoheneck_380kV,Hoheneck_110kV,TRUE,160 MVA 380/110 kV
Hoheneck_220_110,Hoheneck_220kV,Hoheneck_110kV,TRUE,100 MVA 220/110 kV
Trossingen_380_110,Trossingen_380kV,Trossingen_110kV,TRUE,160 MVA 380/110 kV
Engstlatt_380_110,Engstlatt_380kV,Engstlatt_110kV,TRUE,160 MVA 380/110 kV
Oberjettingen_380_110,Oberjettingen_380kV,Oberjettingen_110kV,TRUE,160 MVA 380/110 kV
Metzingen_380_110,Metzingen_380kV,Metzingen_110kV,TRUE,160 MVA 380/110 kV
Herbertingen_380_110,Herbertingen_380kV,Herbertingen_110kV,TRUE,160 MVA 380/110 kV
Beuren_220_110,Beuren_220kV,Beuren_110kV,TRUE,100 MVA 220/110 kV
Stockach_220_110,Stockach_220kV,Stockach_110kV,TRUE,100 MVA 220/110 kV
Grunkraut_380_110,Grunkraut_380kV,Grunkraut_110kV,TRUE,160 MVA 380/110 kV
Obermooweiler_380_110,Obermooweiler_380kV,Obermooweiler_110kV,TRUE,160 MVA 380/110 kV
Dellmensingen_380_110,Dellmensingen_380kV,Dellmensingen_110kV,TRUE,160 MVA 380/110 kV
Laichingen_380_110,Laichingen_380kV,Laichingen_110kV,TRUE,160 MVA 380/110 kV
Wendlingen_380_110,Wendlingen_380kV,Wendlingen_110kV,TRUE,160 MVA 380/110 kV
Muhlhausen_220_110,Muhlhausen_220kV,Muhlhausen_110kV,TRUE,100 MVA 220/110 kV
Muhlhausen_380_110,Muhlhausen_380kV,Muhlhausen_110kV,TRUE,160 MVA 380/110 kV
Neckarwestheim_220_110,Neckarwestheim_220kV,Neckarwestheim_110kV,TRUE,100 MVA 220/110 kV
Neckarwestheim_380_110,Neckarwestheim_380kV,Neckarwestheim_110kV,TRUE,160 MVA 380/110 kV
Altbach_380_110,Altbach_380kV,Altbach_110kV,TRUE,160 MVA 380/110 kV
Endersbach_380_110,Endersbach_380kV,Endersbach_110kV,TRUE,160 MVA 380/110 kV
Kuhmoos_380_110,Kuhmoos_380kV,Kuhmoos_110kV,TRUE,160 MVA 380/110 kV
Laufenburg_380_110,Laufenburg_380kV,Laufenburg_110kV,TRUE,160 MVA 380/110 kV
Hopfingen_380_110,Hopfingen_380kV,Hopfingen_110kV,TRUE,160 MVA 380/110 kV
Kupferzell_380_110,Kupferzell_380kV,Kupferzell_110kV,TRUE,160 MVA 380/110 kV
Kupferzell_220_110,Kupferzell_220kV,Kupferzell_110kV,TRUE,100 MVA 220/110 kV
Goldshofe_380_110,Goldshofe_380kV,Goldshofe_110kV,TRUE,160 MVA 380/110 kV
Goldshofe_220_110,Goldshofe_220kV,Goldshofe_110kV,TRUE,100 MVA 220/110 kV
Rotensohl_380_110,Rotensohl_380kV,Rotensohl_110kV,TRUE,160 MVA 380/110 kV
Niederstotzingen_380_110,Niederstotzingen_380kV,Niederstotzingen_110kV,TRUE,160 MVA 380/110 kV
HeidelburgSud_220_110,HeidelburgSud_220kV,HeidelburgSud_110kV,TRUE,100 MVA 220/110 kV
