,demand_value,x,y
Alb-Donau-Kreis,0.0167302,,
"Baden-Baden, Stadtkreis",0.00392669,,
Biberach,0.0147067,,
Bodenseekreis,0.0159337,,
Breisgau-Hochschwarzwald,0.0208661,,
Boblingen,0.0258966,,
Calw,0.0111553,,
Emmendingen,0.0126533,,
Enzkreis,0.0137091,,
Esslingen,0.0355272,,
"Freiburg im Breisgau, Stadtkreis",0.0146827,,
Freudenstadt,0.00871421,,
Goppingen,0.0168247,,
"Heidelberg, Stadtkreis",0.00917318,,
Heidenheim,0.00939114,,
"Heilbronn, Landkreis",0.0239038,,
"Heilbronn, Stadtkreis",0.00775506,,
Hohenlohekreis,0.00839376,,
"Karlsruhe, Landkreis",0.0325501,,
"Karlsruhe, Stadtkreis",0.0183353,,
Konstanz,0.0204116,,
Lorrach,6.7892797,,
Ludwigsburg,0.0370892,,
Main-Tauber-Kreis,0.00923216,,
"Mannheim, Stadtkreis",0.0190128,,
Neckar-Odenwald-Kreis,0.0102155,,
Ortenaukreis,0.0305745,,
Ostalbkreis,0.0213932,,
"Pforzheim, Stadtkreis",0.00761056,,
Rastatt,0.0164904,,
Ravensburg,0.0209425,,
Rems-Murr-Kreis,0.0284152,,
Reutlingen,0.0202077,,
Rhein-Neckar-Kreis,0.0385709,,
Rottweil,0.00958716,,
Schwarzwald-Baar-Kreis,0.0142185,,
Schwabisch Hall,0.0144966,,
Sigmaringen,0.00937971,,
"Stuttgart, Stadtkreis",0.0376425,,
Tuttlingen,0.00974838,,
"Tubingen, Landkreis",0.0158391,,
"Ulm, Stadtkreis",0.00774524,,
Waldshut,0.0120977,,
Zollernalbkreis,0.0137214,,
